src,part,pvs,Frame,vqm,bitrate,resWidth,resHeight,GroupCount,mean_Blockiness,mean_SA,mean_Blockloss,mean_Blur,mean_TA,mean_Exposure,mean_Contrast,mean_Brightness,mean_Noise
LiquidAssets_creature2,1,0,0,0,0,0,0,50,0.805178,21.1725348,3.569286,9.57622,8.2223062,119,44.1879852,0.469574,1.118342
LiquidAssets_creature2,2,0,0,0,0,0,0,50,0.792191,21.6028774,3.4014286,9.57556,8.8603258,120.18,45.7761762,0.4741832,1.121536
LiquidAssets_creature2,3,0,0,0,0,0,0,50,0.7500148,19.3195274,4.947143,11.05716,8.6709734,120.2,48.0755162,0.4740176,1.06202
LiquidAssets_creature2,4,0,0,0,0,0,0,50,0.7372948,18.7740728,6.8028574,12.53136,11.9055932,120.62,50.9311922,0.4750854,1.07876
LiquidAssets_creature2,5,0,0,0,0,0,0,50,0.7530432,17.457579,11.5542856,14.5752,8.4234434,118.14,43.3026506,0.4686094,1.079388
LiquidAssets_creature2,6,0,0,0,0,0,0,50,0.7378058,16.6991892,10.8600002,13.70586,9.346549,120.92,52.5102136,0.4762468,1.122004
LiquidAssets_creature2,7,0,0,0,0,0,0,50,0.7408786,15.3494632,12.5335714,14.7784,8.0977976,121.5,59.460705,0.478644,1.159182
LiquidAssets_creature2,8,0,0,0,0,0,0,50,0.7402944,16.4802286,11.7500002,12.37164,9.1305058,121.48,61.8810054,0.4786428,1.14726
LiquidAssets_creature2,9,0,0,0,0,0,0,50,0.725939,15.022997,13.0385712,12.92216,10.349313,121.1,60.3017716,0.4777676,1.129946
LiquidAssets_diver2,1,0,0,0,0,0,0,50,0.7634852,32.7763108,3.6957142,9.47832,12.8812092,118.28,41.4169966,0.4703002,1.462396
LiquidAssets_diver2,2,0,0,0,0,0,0,50,0.7552844,29.2772442,6.237857,10.48252,13.773852,118.26,38.3530678,0.466557,1.371962
LiquidAssets_diver2,3,0,0,0,0,0,0,50,0.7564312,27.409403,4.4778568,9.37346,9.0192568,119.36,32.4240446,0.4709404,1.401656
LiquidAssets_diver2,4,0,0,0,0,0,0,50,0.748747,23.3784706,2.7914278,8.42086,7.4430758,121.58,30.2170936,0.4801486,1.399382
LiquidAssets_diver2,5,0,0,0,0,0,0,50,0.7456628,20.653134,3.8264296,7.64962,7.0993622,119.6,26.8515076,0.471308,1.396338
LiquidAssets_diver2,6,0,0,0,0,0,0,50,0.737911,17.6097004,2.7350002,7.84184,6.1989692,120.58,23.200813,0.4757006,1.280702
LiquidAssets_diver2,7,0,0,0,0,0,0,50,0.751966,20.0873838,3.2021428,7.42368,7.9243332,125.42,31.6436454,0.493309,1.30495
LiquidAssets_diver6,1,0,0,0,0,0,0,50,0.749366,13.2571844,1.4542858,4.89882,3.0795014,125.08,62.9655802,0.4939338,1.2253
LiquidAssets_diver6,2,0,0,0,0,0,0,50,0.7548516,16.685229,4.407143,5.64866,5.587443,125,61.6458194,0.4933806,1.279808
